from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,from_lat,from_lon,from_h3_id,to_lat,to_lon,to_h3_id,mid_lat,mid_lon,mid_h3_id,same_origin_dest_hex
3728,3732,33.58790268,2.933376889,primary_link,11.96245926,group_2,0.397907306,0.6,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,8.7333056055,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,4.211663583,37.3523636,-121.9996302,872834701ffffff,37.3525914,-121.9993868,872834701ffffff,37.3524775,-121.9995085,872834701ffffff,True
2079,3733,133.22858,12.27280187,unclassified,11.38809927,group_3,0.988665755,0.8,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,38.207770575,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,17.54839551,37.3443778,-121.938305,872834715ffffff,37.344878,-121.9369361,872834715ffffff,37.3446279,-121.93762055,872834715ffffff,True
3454,3734,106.6399567,6.995829627,primary,16.87712414,group_2,0.397907306,0.6,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,20.63607309,9.4779142305,9.4779142305,22.699680405,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,9.4779142305,37.3550438,-121.9457329,872834702ffffff,37.3555247,-121.9446899,872834702ffffff,37.35528425,-121.9452114,872834702ffffff,True
3337,3735,11.10142645,0.836221935,primary,16.87712414,group_2,0.397907306,0.6,0.986669265,0.986669265,0.986669265,0.986669265,0.986669265,0.986669265,0.986669265,2.1482552565,2.1482552565,2.1482552565,0.986669265,0.986669265,0.986669265,1.7049644895,0.986669265,2.1482552565,0.986669265,2.045957388,0.986669265,0.986669265,0.986669265,0.986669265,0.986669265,0.986669265,37.3517263,-121.9227862,872834715ffffff,37.3517851,-121.9228877,872834715ffffff,37.3517557,-121.92283695,872834715ffffff,True
3338,3736,573.3278016,37.04506827,motorway_link,19.67495814,group_1,0.6,0.4,43.709963505,43.709963505,43.709963505,43.709963505,43.709963505,43.709963505,43.709963505,95.168829345,95.168829345,95.168829345,43.709963505,43.709963505,43.709963505,75.53081694,43.709963505,95.168829345,43.709963505,90.63698034,43.709963505,43.709963505,43.709963505,43.709963505,43.709963505,43.709963505,37.3478565,-121.9200096,872834715ffffff,37.3515654,-121.9224813,872834715ffffff,37.34971095,-121.92124545,872834715ffffff,True
3714,3737,216.7388074,15.78969831,primary,16.87712414,group_2,0.397907306,0.6,19.263247005,19.263247005,19.263247005,19.263247005,19.263247005,19.263247005,19.263247005,33.286890825,33.286890825,33.286890825,19.263247005,19.263247005,19.263247005,19.263247005,41.94148245,39.94426899,39.94426899,19.263247005,19.263247005,19.263247005,19.263247005,19.263247005,19.263247005,19.263247005,37.352928,-121.9248774,872834715ffffff,37.3519225,-121.9227781,872834715ffffff,37.35242525,-121.92382775,872834715ffffff,True
3738,3739,22.51868254,2.318101455,residential,11.2146809,group_3,0.988665755,0.8,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,5.2046443095,5.2046443095,3.0119469390000004,3.0119469390000004,6.245573171999999,3.0119469390000004,6.55785183,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,3.0119469390000004,37.3140904,-122.006449,872834723ffffff,37.3141626,-122.0066869,872834723ffffff,37.3141265,-122.00656795,872834723ffffff,True
4034,3740,21.93278075,1.397110153,primary,16.87712414,group_2,0.397907306,0.6,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,4.0421413425,1.9493351385,1.9493351385,3.3684511184999995,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,1.9493351385,37.3729654,-121.950266,87283471cffffff,37.3727901,-121.9501709,87283471cffffff,37.37287775,-121.95021845,87283471cffffff,True
2760,3741,158.3824406,12.57170441,motorway_link,19.67495814,group_1,0.6,0.4,12.074925864,12.074925864,12.074925864,12.074925864,12.074925864,12.074925864,12.074925864,20.8654719,25.038566265,26.290494585,25.038566265,25.038566265,25.038566265,26.290494585,26.290494585,26.290494585,26.290494585,28.919544045,26.290494585,12.074925864,12.074925864,12.074925864,12.074925864,12.074925864,37.3235584,-121.9406454,872834733ffffff,37.322174,-121.9403279,872834731ffffff,37.3228662,-121.94048665,872834731ffffff,False
1909,3742,14.17686651,0.903061238,primary,16.87712414,group_2,0.397907306,0.6,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,2.612751156,1.260007308,1.260007308,2.17729263,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,1.260007308,37.3626899,-121.9490542,872834702ffffff,37.362568,-121.9490072,872834702ffffff,37.36262895,-121.9490307,872834702ffffff,True
3604,3743,15.22323518,1.567923221,secondary,15.28876023,group_2,0.397907306,0.6,1.493571252,1.493571252,1.493571252,1.493571252,1.493571252,1.493571252,1.493571252,3.2519228160000004,3.2519228160000004,3.2519228160000004,3.2519228160000004,3.2519228160000004,3.0970693485,2.5808911245,3.2519228160000004,3.2519228160000004,3.2519228160000004,3.5771150985,3.2519228160000004,1.493571252,1.493571252,1.493571252,1.493571252,1.493571252,37.3096678,-121.9967106,872834723ffffff,37.3097241,-121.9965537,872834723ffffff,37.30969595,-121.99663215,872834723ffffff,True
3745,3744,41.06817402,4.206624587,secondary,15.28876023,group_2,0.397907306,0.6,4.029251562000001,4.029251562000001,4.029251562000001,4.029251562000001,4.029251562000001,4.029251562000001,4.029251562000001,6.962546698500001,8.772808839,8.772808839,8.355056037,8.355056037,8.355056037,8.772808839,8.772808839,8.772808839,8.772808839,9.6500897235,8.772808839,4.029251562000001,4.029251562000001,4.029251562000001,4.029251562000001,4.029251562000001,37.3095542,-121.9961591,872834723ffffff,37.3096058,-121.9966189,872834723ffffff,37.30958,-121.996389,872834723ffffff,True
3747,3745,19.31932867,1.95650285,secondary,15.28876023,group_2,0.397907306,0.6,1.8954442725,1.8954442725,1.8954442725,1.8954442725,1.8954442725,1.8954442725,1.8954442725,3.2753277030000003,4.126912904999999,4.126912904999999,3.930393243,3.930393243,3.930393243,4.126912904999999,3.930393243,4.126912904999999,4.126912904999999,3.930393243,4.126912904999999,1.8954442725,1.8954442725,1.8954442725,1.8954442725,1.8954442725,37.3095305,-121.9959427,872834723ffffff,37.3095542,-121.9961591,872834723ffffff,37.30954235,-121.9960509,872834723ffffff,True
