from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23
49,3116,32.50099913,3.350514624,secondary,15.28876023,group_2,0.6,0.25,2.125809983,2.125809983,2.125809983,2.125809983,2.125809983,2.125809983,2.125809983,4.62848356,4.408079581,4.62848356,4.408079581,4.408079581,4.62848356,4.408079581,4.62848356,4.62848356,4.62848356,5.091331916,4.408079581,2.125809983,2.125809983,2.125809983,2.125809983,2.125809983
49,3134,12.0810238,0.939221007,motorway_link,19.67495814,group_1,0.5,0.01,0.61403047,0.61403047,0.61403047,0.61403047,0.61403047,0.61403047,0.61403047,1.061044652,1.273253583,1.336916262,1.273253583,1.336916262,1.336916262,1.336916262,1.336916262,1.273253583,1.273253583,1.273253583,1.061044652,0.61403047,0.61403047,0.61403047,0.61403047,0.61403047
50,49,68.3035197,6.936519065,secondary,15.28876023,group_2,0.6,0.25,4.46756432,4.46756432,4.46756432,4.46756432,4.46756432,4.46756432,4.46756432,7.719951144,9.263941373,9.727138442,9.263941373,9.263941373,9.727138442,9.263941373,9.727138442,9.727138442,9.727138442,10.19033551,9.263941373,4.46756432,4.46756432,4.46756432,4.46756432,4.46756432
51,2608,15.61305679,0.786093395,trunk_link,21.81013333,group_2,0.6,0.25,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251,1.558633126,0.71586251,0.71586251,0.71586251,0.71586251,1.558633126,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251,0.71586251
51,3251,54.9156453,2.659943084,trunk,21.02392057,group_2,0.6,0.25,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,3.761359779,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402,2.612055402
52,3261,25.83894377,1.487399968,trunk,21.02392057,group_2,0.6,0.25,1.229025941,1.229025941,1.229025941,1.229025941,1.229025941,1.229025941,1.229025941,2.675933601,1.229025941,1.229025941,2.675933601,1.229025941,1.769797355,2.675933601,1.229025941,2.548508192,1.229025941,1.229025941,1.229025941,1.229025941,1.229025941,1.229025941,1.229025941,1.229025941
53,3262,417.0864173,24.00927566,trunk,21.02392057,group_2,0.6,0.25,19.83866025,19.83866025,19.83866025,19.83866025,19.83866025,19.83866025,19.83866025,43.19431818,19.83866025,19.83866025,43.19431818,19.83866025,28.56767075,43.19431818,19.83866025,41.13744589,19.83866025,19.83866025,19.83866025,19.83866025,19.83866025,19.83866025,19.83866025,19.83866025
54,2602,80.36115879,5.853492634,trunk,21.02392057,group_2,0.6,0.25,3.822367884,3.822367884,3.822367884,3.822367884,3.822367884,3.822367884,3.822367884,8.322365146,3.822367884,7.926062044,8.322365146,7.926062044,7.926062044,8.322365146,8.322365146,7.926062044,8.322365146,9.154601661,8.322365146,3.822367884,3.822367884,3.822367884,3.822367884,3.822367884
55,2591,9.775329937,0.66358176,trunk,21.02392057,group_2,0.6,0.25,0.464962275,0.464962275,0.464962275,0.464962275,0.464962275,0.464962275,0.464962275,0.464962275,0.464962275,0.964145773,0.964145773,1.012353062,0.964145773,0.964145773,1.012353062,0.803454811,0.964145773,0.964145773,0.803454811,0.464962275,0.464962275,0.464962275,0.464962275,0.464962275
56,71,569.7350869,28.83003789,motorway,28.84098113,group_1,0.5,0.01,19.75435871,19.75435871,19.75435871,19.75435871,19.75435871,19.75435871,19.75435871,19.75435871,34.13553186,43.01077014,28.44627655,43.01077014,43.01077014,28.44627655,43.01077014,43.01077014,43.01077014,45.05890205,40.96263823,19.75435871,19.75435871,19.75435871,19.75435871,19.75435871
56,130,188.598512,13.86316562,motorway_link,19.67495814,group_1,0.5,0.01,9.585713506,9.585713506,9.585713506,9.585713506,9.585713506,9.585713506,9.585713506,9.585713506,9.585713506,20.8707823,9.585713506,19.87693553,20.8707823,20.8707823,20.8707823,20.8707823,20.8707823,22.95786053,20.8707823,9.585713506,9.585713506,9.585713506,9.585713506,9.585713506
