node_index,is_stop_only,pos_x,pos_y,osmid,y,x
181,FALSE,592552.9699,4130512.535,65405974,37.3166567,-121.9554672
182,FALSE,593032.93,4130588.334,65405977,37.3172919,-121.9500418
183,FALSE,587310.4886,4131851.378,65406866,37.3292306,-122.0144669
184,FALSE,585619.6729,4129181.919,65407467,37.3053291,-122.0338578
185,FALSE,591751.0017,4137811.147,65407803,37.3825144,-121.9636128
186,FALSE,592908.5041,4130451.273,65408475,37.3160691,-121.951463
187,FALSE,593722.2531,4133936.481,65409160,37.3473974,-121.9418402
188,FALSE,593905.2372,4133897.523,65409167,37.3470278,-121.9397795
189,FALSE,586515.7338,4132186.033,65409219,37.3323211,-122.0233976
190,FALSE,585092.0015,4127918.43,65410675,37.2939901,-122.0399561
191,FALSE,593422.5862,4130559.473,65410786,37.3169927,-121.9456485
192,FALSE,585218.4277,4128748.101,65411304,37.3014561,-122.0384347
193,FALSE,588880.9522,4136741.135,65411531,37.3731506,-121.9961558
194,FALSE,582493.6754,4140155.964,65411593,37.4045175,-122.0679053
195,FALSE,591641.4499,4137503.4,65411953,37.3797517,-121.9648882
196,FALSE,583344.8634,4129307.612,65413866,37.3066687,-122.0595097
197,FALSE,588982.4059,4130889.817,65414239,37.3204058,-121.9957128
198,FALSE,588963.3403,4130901.92,65414241,37.3205167,-121.9959265
199,FALSE,588607.6161,4131102.673,65414246,37.32236,-121.9999168
200,FALSE,588544.4852,4138851.334,65415279,37.3922009,-121.9997028
201,FALSE,594177.4532,4132675.143,65417075,37.3359837,-121.9368619
202,FALSE,594163.3764,4132457.705,65417082,37.3340255,-121.9370484
203,FALSE,582575.346,4140334.156,65417614,37.4061162,-122.0669627
204,FALSE,586929.8585,4137416.586,65417722,37.3794231,-122.0181096
205,FALSE,587037.8264,4139303.9,65417858,37.3964224,-122.0166681
206,FALSE,583865.5402,4132677.448,65418383,37.3369932,-122.053254
207,FALSE,583792.4579,4132508.575,65418390,37.3354778,-122.054098
208,FALSE,595601.3669,4134337.906,65419089,37.3508235,-121.9205759
209,FALSE,585141.6018,4129974.6,65419386,37.3125172,-122.0391608
210,FALSE,585198.0044,4129976.927,65419388,37.312533,-122.0385241
211,FALSE,585284.4712,4129960.664,65419392,37.3123785,-122.0375503
212,FALSE,585320.9726,4129960.049,65419394,37.3123696,-122.0371385
213,FALSE,585513.5864,4129962.668,65419398,37.3123755,-122.0349648
214,FALSE,585760.5272,4129956.561,65419404,37.3122977,-122.0321791
215,FALSE,588957.6534,4129699.571,65419414,37.309681,-121.9961348
216,FALSE,588838.228,4129704.561,65419422,37.3097374,-121.9974817
217,FALSE,588780.6736,4129712.062,65419423,37.3098105,-121.9981302
218,FALSE,588667.8328,4129725.501,65419425,37.3099424,-121.9994018
219,FALSE,588348.3141,4129760.815,65419426,37.3102911,-122.0030028
220,FALSE,588259.4258,4129770.508,65419429,37.3103869,-122.0040046
221,FALSE,588180.365,4129779.494,65419432,37.3104754,-122.0048956
222,FALSE,588096.9028,4129788.181,65419435,37.3105616,-122.0058363
223,FALSE,587926.4244,4129806.461,65419437,37.3107425,-122.0077577
224,FALSE,587885.9018,4129803.351,65419439,37.3107183,-122.0082153
225,FALSE,587679.5958,4129785.81,65419441,37.3105797,-122.0105452
226,FALSE,587415.3936,4129761.09,65419442,37.3103818,-122.0135292
227,FALSE,587225.2635,4129743.241,65419444,37.3102388,-122.0156766
228,FALSE,587037.4158,4129727.44,65419450,37.310114,-122.017798
229,FALSE,586737.9571,4129660.578,65419461,37.3095394,-122.0211847
230,FALSE,586557.626,4129696.759,65419468,37.3098823,-122.0232152
231,FALSE,586265.1908,4129796.875,65419481,37.3108118,-122.0265032
232,FALSE,586248.7166,4129802.775,65419483,37.3108665,-122.0266884
233,FALSE,586162.7831,4129833.157,65419485,37.3111483,-122.0276545
234,FALSE,586114.3916,4129852.343,65419488,37.3113257,-122.0281983
235,FALSE,586066.4508,4129869.082,65419491,37.311481,-122.0287373
236,FALSE,585889.334,4129931.373,65419493,37.3120588,-122.0307286
237,FALSE,586456.1516,4131879.691,65419671,37.3295657,-122.0241058
238,FALSE,586374.7618,4131879.56,65419672,37.3295721,-122.0250244
239,FALSE,586296.7508,4131878.29,65419675,37.3295679,-122.025905
240,FALSE,586223.8412,4131877.217,65419676,37.329565,-122.026728
241,FALSE,589130.7229,4134643.985,65419989,37.3542261,-121.9935877
242,FALSE,589155.6028,4135195.64,65419992,37.3591955,-121.9932404
243,FALSE,589145.4968,4135276.243,65419993,37.3599229,-121.9933448
244,FALSE,589122.8076,4135355.801,65419995,37.3606421,-121.9935914
245,FALSE,589122.3929,4135498.554,65419998,37.3619287,-121.9935789
246,FALSE,582752.3412,4130815.216,65420298,37.3203093,-122.066027
247,FALSE,582690.3949,4130853.471,65420301,37.3206596,-122.0667218
248,FALSE,582685.8979,4130998.366,65420313,37.3219659,-122.0667564
249,FALSE,582940.4893,4130814.781,65420319,37.3202886,-122.0639038
250,FALSE,582841.9806,4130811.819,65420322,37.3202707,-122.0650158
251,FALSE,582773.0306,4130812.713,65420327,37.3202849,-122.0657938
252,FALSE,587297.7417,4129305.334,65420804,37.3062853,-122.0149103
253,FALSE,585137.3695,4128747.277,65421660,37.3014561,-122.0393493
254,FALSE,584957.553,4128744.708,65421662,37.3014494,-122.0413783
255,FALSE,588026.7259,4130893.662,65422044,37.3205315,-122.006497
256,FALSE,587934.6674,4130894.215,65422045,37.3205452,-122.0075358
257,FALSE,584936.8563,4129839.986,65422051,37.3113227,-122.0414865
258,FALSE,584824.1274,4131812.241,65422262,37.3291083,-122.042533
259,FALSE,584760.4649,4131812.328,65422265,37.3291149,-122.0432515
260,FALSE,586552.4832,4130380.446,65422389,37.3160446,-122.0231935
261,FALSE,586472.7602,4130378.824,65422391,37.3160374,-122.0240933
262,FALSE,586194.8393,4130375.57,65422392,37.3160339,-122.0272298
263,FALSE,586099.2995,4130378.093,65422394,37.3160655,-122.0283076
264,FALSE,586013.4588,4130391.436,65422399,37.3161937,-122.0292747
265,FALSE,585753.9531,4130370.943,65422406,37.316033,-122.0322054
266,FALSE,583993.3018,4129149.588,65422494,37.3051861,-122.0522113
267,FALSE,583994.7192,4129078.936,65422497,37.3045492,-122.0522033
268,FALSE,588022.3951,4131179.151,65422580,37.3231049,-122.006512
269,FALSE,588028.0551,4130781.566,65422581,37.3195211,-122.0064953
270,FALSE,588030.473,4130675.495,65422582,37.3185649,-122.0064806
271,FALSE,588031.8336,4130566.307,65422583,37.3175807,-122.0064782
272,FALSE,587991.6774,4130451.09,65422584,37.3165461,-122.006945
273,FALSE,587955.9451,4130394.659,65422587,37.3160409,-122.0073549
274,FALSE,587940.4705,4130353.465,65422590,37.3156711,-122.0075344
275,FALSE,587936.2889,4130176.114,65422593,37.3140731,-122.0076026
276,FALSE,587930.4999,4129969.509,65422594,37.3122116,-122.0076924
277,FALSE,587927.9689,4129891.492,65422598,37.3115087,-122.0077302
278,FALSE,584171.5239,4131802.08,65422807,37.3290761,-122.0498996
279,FALSE,583918.2089,4129238.498,65422850,37.3059942,-122.0530485
280,FALSE,594964.0676,4133488.353,65422916,37.3432325,-121.9278793
281,FALSE,587600.6324,4130194.809,65423054,37.3142733,-122.0113879
282,FALSE,587599.1083,4130132.092,65423057,37.3137082,-122.0114125
283,FALSE,582353.1834,4131355.676,65423076,37.3252158,-122.0704715
284,FALSE,582353.1585,4131303.261,65423079,37.3247434,-122.0704776
285,FALSE,582514.9999,4130035.497,65423088,37.313303,-122.0687921
286,FALSE,585222.1151,4137531.995,65423310,37.3806218,-122.0373831
287,FALSE,591295.2359,4133789.082,65423398,37.3463109,-121.9692562
288,FALSE,591005.6381,4133172.176,65423495,37.3407795,-121.9726011
289,FALSE,583557.4336,4131106.023,65423528,37.3228582,-122.0569088
290,FALSE,585321.4773,4132022.574,65423595,37.3309584,-122.0368956
291,FALSE,585468.1155,4132024.048,65423597,37.3309582,-122.0352404
292,FALSE,582763.7291,4129653.918,65423646,37.3098418,-122.066028
293,FALSE,582769.1999,4129689.522,65423647,37.3101622,-122.0659623
294,FALSE,588616.852,4130250.05,65423808,37.3146748,-121.9999144
295,FALSE,588547.1224,4130253.607,65423809,37.3147135,-122.0007008
296,FALSE,588314.4191,4130260.425,65423812,37.3147971,-122.0033258
297,FALSE,588195.9489,4130263.06,65423814,37.3148321,-122.0046623
298,FALSE,582620.5455,4130706.688,65423858,37.3193429,-122.0675264
299,FALSE,582625.7041,4130755.947,65423860,37.3197864,-122.0674627
300,FALSE,591189.8804,4135347.157,65423898,37.3603633,-121.9702537
301,FALSE,591274.9889,4135292.551,65423903,37.3598628,-121.9692995
302,FALSE,584935.502,4129995.375,65424122,37.3127233,-122.041484
303,FALSE,584848.6577,4129993.03,65424124,37.3127101,-122.0424642
304,FALSE,584726.0574,4129983.357,65424127,37.3126341,-122.0438487
305,FALSE,583466.1946,4131806.844,65424462,37.3291827,-122.0578596
306,FALSE,588287.0634,4129557.42,65424496,37.3084638,-122.0037181
307,FALSE,586429.8355,4130612.108,65424537,37.3181439,-122.0245505
308,FALSE,588254.5834,4131989.367,65424823,37.330385,-122.0037953
309,FALSE,588590.4173,4131988.388,65424827,37.3303442,-122.0000051
310,FALSE,588494.9041,4131988.288,65424830,37.3303524,-122.0010831
311,FALSE,588419.2238,4131952.636,65424832,37.3300383,-122.0019415
312,FALSE,588355.1069,4131937.014,65424836,37.3299036,-122.002667
313,FALSE,583121.118,4128773.465,65425282,37.3018746,-122.062094
314,FALSE,583203.1484,4128938.713,65425283,37.3033566,-122.06115
315,FALSE,583832.9318,4128823.685,65425334,37.3022633,-122.0540575
316,FALSE,583782.5633,4128915.595,65425337,37.3030962,-122.0546154
317,FALSE,583741.4365,4128962.672,65425339,37.3035242,-122.0550741
318,FALSE,583688.1082,4128978.405,65425342,37.3036708,-122.055674
319,FALSE,583402.6679,4128891.822,65425345,37.3029161,-122.0589042
320,FALSE,582143.949,4130316.701,65425388,37.3158703,-122.0729479
321,FALSE,590119.2525,4132840.805,65425428,37.3378795,-121.9826467
322,FALSE,590098.9747,4132945.963,65425431,37.3388292,-121.9828628
323,FALSE,590103.9234,4133082.05,65425433,37.3400552,-121.9827904
324,FALSE,590101.3987,4133151.127,65425436,37.340678,-121.9828105
325,FALSE,590127.1874,4133282.733,65425439,37.3418616,-121.9825034
326,FALSE,585205.875,4130768.526,65425458,37.3196667,-122.0383444
327,FALSE,585167.2518,4130768.133,65425460,37.3196667,-122.0387803
328,FALSE,584922.0082,4130770.135,65425463,37.3197072,-122.0415476
329,FALSE,590394.7487,4128954.294,65425836,37.3028255,-121.9800106
330,FALSE,589551.4295,4135574.296,65425883,37.36257,-121.9887255
331,FALSE,588118.8588,4131165.575,65426367,37.3229734,-122.005425
332,FALSE,588122.8581,4130779.712,65426370,37.3194954,-122.0054257
333,FALSE,588129.1643,4130442.383,65426373,37.3164546,-122.0053946
334,FALSE,585709.6071,4132768.066,65426547,37.3376415,-122.0324288
335,FALSE,585717.9032,4131945.983,65426561,37.3302316,-122.0324302
336,FALSE,585723.4344,4131536.537,65426563,37.3265409,-122.0324151
337,FALSE,585724.5811,4131373.511,65426564,37.3250715,-122.032421
338,FALSE,585727.2396,4131141.586,65426566,37.322981,-122.0324178
339,FALSE,582598.2955,4130936.521,65426599,37.3214163,-122.0677519
340,FALSE,590692.6482,4132802.351,65426604,37.3374771,-121.9761793
341,FALSE,585987.2469,4137171.238,65426734,37.3772998,-122.0287837
342,FALSE,585936.0838,4137002.546,65426741,37.3757842,-122.0293811
343,FALSE,585886.8742,4136808.122,65426743,37.3740365,-122.0299594
344,FALSE,585840.6852,4136628.886,65426746,37.3724254,-122.0305018
345,FALSE,585801.6852,4136466.867,65426751,37.3709688,-122.030961
346,FALSE,585734.8531,4136149.168,65426754,37.3681117,-122.0317525
347,FALSE,585321.8309,4131993.974,65427249,37.3307006,-122.0368949
348,FALSE,585010.8457,4131990.676,65427255,37.3306994,-122.0404052
