from_node,to_node,distance,travel_time,highway,highway_group
143,66,109.3943474,12.451956764999998,primary,group_2
143,3621,70.97217913,6.998256979500001,trunk_link,group_2
144,74,20.1403475,1.463428683,trunk_link,group_2
144,3378,30.4108698,3.1522415985,secondary,group_3
145,3386,526.6614905,52.372629,motorway_link,group_1
145,3387,796.4945349,84.30073905,motorway_link,group_1
146,3878,48.27022087,6.1041104415000005,primary,group_2
147,2870,115.8481739,11.801511666,secondary,group_3
148,3938,267.1390545,17.86960833,motorway,group_1
149,3480,51.77672961,5.3232809355,primary,group_2
150,149,97.07429387,9.9804244425,primary,group_2
151,150,235.8616452,34.21212639,primary_link,group_2
152,166,114.2511223,10.7835637155,primary,group_2
153,202,104.578424,7.461144573,motorway,group_1
154,3720,43.50840956,4.7976573105,secondary,group_3
155,153,160.4928723,11.450359234499999,motorway,group_1
156,154,174.1608006,17.39723592,primary,group_2
157,3264,57.598139,6.3204901485,secondary,group_3
158,92,300.3246108,28.02989604,motorway_link,group_1
159,138,354.4105555,20.61632229,motorway,group_1
160,132,40.59516045,3.6818664465,motorway_link,group_1
160,740,264.468963,35.691374205,secondary,group_3
160,3640,42.69280134,5.675253573,secondary,group_3
161,163,711.8087042,39.112555095000005,motorway,group_1
162,3394,368.7286462,31.441817235000002,motorway_link,group_1
162,146,171.3932293,21.590760405,primary,group_2
163,3064,825.7764416,45.37486881,motorway,group_1
164,3556,88.79586416,10.283756198999999,secondary,group_3
165,3264,13.91895135,1.2990835425,motorway_link,group_1
165,3265,152.6709478,15.825121605,secondary,group_3
166,3639,198.0411599,26.371526445,primary_link,group_2
166,458,284.5802175,27.920532465,secondary,group_3
167,3345,38.0893646,4.3228948725,secondary,group_3
168,185,124.6672423,10.4995321875,trunk,group_2
169,148,267.6291156,17.902389765000002,motorway,group_1
170,2929,47.51163312,5.5309693155,primary,group_2
171,1218,125.0363217,18.00560181,residential,group_4
171,2348,344.5493305,52.87858752,tertiary,group_3
171,611,158.577318,22.927232445,tertiary,group_3
172,2596,123.4854103,15.735381284999999,primary,group_2
172,3873,87.99223597,9.896522487,motorway_link,group_1
173,2862,492.8348316,53.665051590000004,motorway_link,group_1
173,3450,214.5397566,27.338167830000003,primary,group_2
174,2826,318.0610527,36.464149004999996,primary,group_2
175,3357,6.424148194,1.0675258200000002,residential,group_4
175,2456,114.8261742,18.801753525000002,residential,group_4
176,175,51.31171581,7.676163093,residential,group_4
177,2250,74.62432761,9.9812462265,residential,group_4
178,3555,37.81754758,3.2941827285,motorway_link,group_1
179,1264,88.21119678,13.533887350499999,residential,group_4
180,3686,31.39202022,3.984967596,primary,group_2
180,63,19.40874548,2.6644734195,primary_link,group_2
181,3407,1188.995625,88.66052383499999,motorway,group_1
182,1933,209.8067987,26.633306445,primary,group_2
183,3388,18.49011997,1.9586980769999998,motorway_link,group_1
183,2039,404.1895712,56.85555465,secondary,group_3
184,1281,81.90763507,14.9087707935,residential,group_4
185,2531,214.3101453,19.286801805,motorway_link,group_1
186,3694,86.1701815,12.0750437145,secondary,group_3
187,1709,112.1962064,13.053898142999998,secondary,group_3
187,1835,112.2001461,11.008101159,secondary,group_3
188,1709,148.6992591,17.300985869999998,secondary,group_3
188,3364,121.6328852,14.8261536615,secondary,group_3
189,1887,215.574542,35.822864415,residential,group_4
189,1878,46.48724373,7.376473020000001,tertiary,group_3
189,1877,98.92111613,16.26715599,tertiary,group_3
190,3600,17.51410606,2.9712430185,unclassified,group_4
190,3599,19.18188999,2.346752595,secondary,group_3
190,3643,298.9934967,41.417791380000004,secondary,group_3
191,181,869.8860472,62.06199434999999,motorway,group_1
192,253,80.89731005,11.682255519,residential,group_4
192,2304,102.7342482,16.07036256,residential,group_4
193,1780,81.0231703,6.1389741419999995,trunk,group_2
194,203,197.0588772,20.42615664,secondary,group_3
195,168,202.5960486,17.062731915,trunk,group_2
196,1105,124.3039679,16.626059505,residential,group_4
196,2181,174.9655484,24.852260684999997,residential,group_4
196,3751,188.6611919,27.167772149999998,residential,group_4
197,2701,20.29525651,2.2099614675,motorway_link,group_1
197,2710,21.62694903,2.7453693795,primary,group_2
198,197,22.56483374,2.4570969600000003,motorway_link,group_1
199,1390,193.3492346,35.93330151,residential,group_4
199,3449,114.3414004,21.843416145,residential,group_4
199,198,411.450777,44.80309782,motorway_link,group_1
200,3067,524.8594973,28.840046325000003,motorway,group_1
200,2645,451.1394976,36.525596175,motorway_link,group_1
201,3720,1.323430283,0.1700703225,secondary,group_3
201,3721,11.41400561,1.258618461,secondary,group_3
202,2904,916.9327716,65.418541515,motorway,group_1
203,161,319.7374175,25.753874189999998,motorway_link,group_1
204,2667,159.4867341,11.5885518495,trunk_link,group_2
205,3457,338.5077551,19.691244705000003,motorway,group_1
206,1934,168.2622821,22.5056268,residential,group_4
206,207,232.7409937,32.888865105,residential,group_4
206,741,58.60271587,8.624312196,residential,group_4
207,206,232.7409937,34.251501165,residential,group_4
208,3339,13.21642977,1.5151992374999999,primary,group_2
209,210,56.83990593,7.8938186895,residential,group_4
210,211,88.01208355,13.895900165999999,residential,group_4
210,209,56.83990593,7.6025220555,residential,group_4
211,212,36.43228845,5.65233747,tertiary,group_3
211,210,88.01208355,12.222951793500002,residential,group_4
211,1491,92.276767,13.1070733035,residential,group_4
212,211,36.43228845,4.465800087,tertiary,group_3
212,213,192.2392075,23.68602309,tertiary,group_3
212,2306,108.2577258,20.180787719999998,residential,group_4
213,212,192.2392075,31.085510565,tertiary,group_3
213,1531,90.47264365,15.585897045,residential,group_4
213,3419,233.0045206,35.409026295,tertiary,group_3
214,3419,17.65025997,2.3250870150000003,secondary,group_3
214,1518,328.2336029,41.82583902,primary,group_2
214,236,133.075822,18.505448235000003,secondary,group_3
215,3745,14.26238684,1.459430631,primary,group_2
215,3743,37.36666719,5.216192805,secondary,group_3
216,3358,8.884675968,1.1497753755,secondary,group_3
216,3355,61.33179374,10.416532359,residential,group_4
216,3604,68.63658887,9.458823222,secondary,group_3
217,1313,53.40018195,8.912692209,residential,group_4
217,3358,49.04772761,6.7330189305,secondary,group_3
217,218,113.4140711,14.184534049500002,secondary,group_3
218,217,113.4140711,15.30578109,secondary,group_3
218,219,320.8309152,40.12585914,secondary,group_3
219,1316,47.48634491,7.7870149515,residential,group_4
219,220,89.24238406,12.1551771525,secondary,group_3
219,218,320.8309152,41.34730452,secondary,group_3
220,221,79.41255021,10.81631364,secondary,group_3
220,219,89.24238406,11.660434840499999,secondary,group_3
221,220,79.41255021,10.3760660025,secondary,group_3
221,222,83.74840181,11.4068743335,secondary,group_3
222,221,83.74840181,10.942589584499999,secondary,group_3
222,223,171.1869768,23.316365325,secondary,group_3
223,277,85.23237985,14.070063537000001,tertiary,group_3
223,224,40.59073477,5.60106177,secondary,group_3
223,222,171.1869768,22.36733823,secondary,group_3
224,225,206.6339032,28.513138815,secondary,group_3
224,223,40.59073477,5.550355218,secondary,group_3
225,496,101.1204712,19.243927215,residential,group_4
225,224,206.6339032,28.365635864999998,secondary,group_3
225,4023,226.284365,31.466975294999997,secondary,group_3
226,1063,106.6495682,11.5127872275,secondary,group_3
226,4023,38.5679907,5.315063176500001,secondary,group_3
226,227,190.5818873,26.502209025,secondary,group_3
226,1062,328.3386928,44.18991723,secondary,group_3
227,1941,88.7119865,14.525790114,residential,group_4
227,228,188.1326953,26.161625774999997,secondary,group_3
227,226,190.5818873,26.264131289999998,secondary,group_3
228,527,54.26906959,7.668817083,residential,group_4
228,229,310.2742528,42.980447444999996,secondary,group_3
228,227,188.1326953,25.825885545,secondary,group_3
229,728,55.8145704,8.8530921,residential,group_4
229,230,186.2937593,25.806166830000002,secondary,group_3
229,228,310.2742528,43.146561405,secondary,group_3
230,2194,269.9872584,34.465677330000005,tertiary,group_3
230,231,308.6159769,42.915962504999996,secondary,group_3
230,229,186.2937593,25.905904380000003,secondary,group_3
230,1350,88.34501267,11.2728247935,tertiary,group_3
231,232,17.47196923,2.4202880145,secondary,group_3
