from_node,to_node,distance,travel_time,highway,max_speed_mps,highway_group,peak_cv,offpeak_cv,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,from_lat,from_lon,from_h3_id,to_lat,to_lon,to_h3_id,mid_lat,mid_lon,mid_h3_id,same_origin_dest_hex
27,58,140.628584,6.89187905,trunk,21.02392057,group_2,0.6,0.25,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,11.55855742,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,6.688979991,37.3848221,-122.0346404,872834708ffffff,37.3844326,-122.0331261,872834708ffffff,37.38462735,-122.03388325,872834708ffffff,True
28,30,21.65750617,1.62502547,secondary,15.28876023,group_2,0.6,0.25,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,3.084256298,3.084256298,3.084256298,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,1.416563923,37.3530879,-121.9383309,872834715ffffff,37.3530397,-121.9385683,872834715ffffff,37.3530638,-121.9384496,872834715ffffff,True
28,3049,206.1928693,12.58789024,primary,16.87712414,group_2,0.6,0.25,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,21.1114924,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,12.21729884,37.3530879,-121.9383309,872834715ffffff,37.3541116,-121.9402759,872834702ffffff,37.35359975,-121.9393034,872834715ffffff,False
29,2793,114.7885917,10.04275692,primary,16.87712414,group_2,0.6,0.25,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786,11.7528724,14.80861922,14.80861922,6.801430786,14.80861922,14.80861922,14.80861922,14.10344688,14.80861922,14.80861922,16.28948114,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786,6.801430786,37.3526838,-121.9518915,872834702ffffff,37.353104,-121.9507053,872834702ffffff,37.3528939,-121.9512984,872834702ffffff,True
30,492,153.7231007,11.17577637,primary,16.87712414,group_2,0.6,0.25,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563,18.8871172,15.73926433,9.108370563,9.108370563,9.108370563,9.108370563,18.8871172,9.108370563,19.83147306,9.108370563,21.81462037,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563,9.108370563,37.3530397,-121.9385683,872834715ffffff,37.3520247,-121.937399,872834715ffffff,37.3525322,-121.93798365,872834715ffffff,True
30,1679,121.5339027,9.119041026,secondary,15.28876023,group_2,0.6,0.25,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,17.30770394,17.30770394,17.30770394,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,7.94923204,37.3530397,-121.9385683,872834715ffffff,37.3525941,-121.9398236,872834715ffffff,37.35281689999999,-121.93919595,872834715ffffff,True
31,4061,551.4479183,27.02517687,trunk,21.02392057,group_2,0.6,0.25,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,45.32465767,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,26.22954726,37.3918963,-122.0690251,872834772ffffff,37.3896771,-122.063443,872834709ffffff,37.3907867,-122.06623405,872834772ffffff,False
32,14,188.8053654,16.92220013,primary,16.87712414,group_2,0.6,0.25,11.18705793,11.18705793,11.18705793,11.18705793,11.18705793,11.18705793,11.18705793,23.19748332,11.18705793,24.35735748,24.35735748,23.19748332,23.19748332,23.19748332,24.35735748,19.3312361,24.35735748,26.79309323,24.35735748,11.18705793,11.18705793,11.18705793,11.18705793,11.18705793,37.3570305,-122.0193926,87283470cffffff,37.3558065,-122.0179121,87283470cffffff,37.356418500000004,-122.01865235,87283470cffffff,True
33,2578,1059.073725,58.66980708,motorway,28.84098113,group_1,0.5,0.01,36.72114066,36.72114066,36.72114066,36.72114066,36.72114066,36.72114066,36.72114066,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,79.95220513,87.94742564,79.95220513,36.72114066,36.72114066,36.72114066,36.72114066,36.72114066,37.3342847,-122.0285931,87283472affffff,37.3319901,-122.0172854,87283472affffff,37.3331374,-122.02293925000001,87283472affffff,True
34,3388,87.57969207,8.970812431,secondary,15.28876023,group_2,0.6,0.25,5.728371088,5.728371088,5.728371088,5.728371088,5.728371088,5.728371088,5.728371088,9.89862524,12.4722678,11.87835029,11.87835029,12.4722678,12.4722678,11.87835029,12.4722678,12.4722678,12.4722678,13.71949458,12.4722678,5.728371088,5.728371088,5.728371088,5.728371088,5.728371088,37.3285333,-122.0142839,87283472effffff,37.3293209,-122.0142913,872834705ffffff,37.3289271,-122.01428759999999,87283472effffff,False
