node_index,is_stop_only,pos_x,pos_y,osmid,lat,lon,h3_id
153,False,594238.2546,4132530.716,65390602,37.3346759,-121.936194,872834733ffffff
154,False,594187.2297,4132631.491,65390608,37.3355893,-121.9367571,872834706ffffff
155,False,594352.3568,4132643.581,65390614,37.3356815,-121.9348918,872834733ffffff
156,False,594243.766,4132468.519,65390685,37.3341148,-121.9361397,872834733ffffff
157,False,582286.2507,4139931.528,65391443,37.4025132,-122.0702737,872834754ffffff
158,False,582215.8785,4139926.286,65391446,37.4024722,-122.0710693,872834754ffffff
159,False,587389.3793,4139209.841,65391616,37.3955416,-122.012708,87283470affffff
160,False,583445.4712,4132730.856,65393371,37.3375124,-122.0579895,872834728ffffff
161,False,582862.5131,4140430.715,65393469,37.4069608,-122.0637075,872834754ffffff
162,False,590799.8853,4130499.577,65393612,37.3167129,-121.9752508,872834704ffffff
163,False,583551.9035,4140248.563,65393813,37.4052572,-122.0559394,872834709ffffff
164,False,583040.5086,4134341.017,65394528,37.3520606,-122.0623801,87283472bffffff
165,False,582253.4753,4139881.886,65394577,37.4020687,-122.0706495,872834754ffffff
166,False,593670.528,4134886.33,65395482,37.355963,-121.942304,872834702ffffff
167,False,593549.8126,4134673.08,65395494,37.3540533,-121.9436938,872834702ffffff
168,False,591706.9634,4137694.734,65396376,37.3814696,-121.9641246,87283471cffffff
169,False,595300.5765,4133654.059,65397622,37.3446914,-121.9240595,872834715ffffff
170,False,595052.8822,4133461.578,65397643,37.3429821,-121.9268802,872834715ffffff
171,False,582856.665,4130037.905,65398688,37.3132943,-122.0649365,87283472dffffff
172,False,584229.7799,4131122.336,65400205,37.3229445,-122.0493193,872834728ffffff
173,False,588713.4955,4131185.813,65401373,37.3230992,-121.998712,872834705ffffff
174,False,595994.4336,4133967.853,65402257,37.3474479,-121.9161865,872834715ffffff
175,False,588716.1947,4129913.94,65403555,37.3116361,-121.9988336,872834723ffffff
176,False,588747.9925,4129954.176,65403558,37.3119957,-121.99847,872834723ffffff
177,False,591290.3025,4134381.465,65403826,37.3516502,-121.9692389,872834700ffffff
178,False,583154.9726,4134339.525,65404310,37.3520369,-122.061088,87283472bffffff
179,False,585415.254,4131683.886,65404759,37.3278973,-122.0358762,872834728ffffff
180,False,588912.6448,4131190.522,65405663,37.3231226,-121.996464,872834705ffffff
181,False,592552.9699,4130512.535,65405974,37.3166567,-121.9554672,872834731ffffff
182,False,593032.93,4130588.334,65405977,37.3172919,-121.9500418,872834731ffffff
183,False,587310.4886,4131851.378,65406866,37.3292306,-122.0144669,872834705ffffff
184,False,585619.6729,4129181.919,65407467,37.3053291,-122.0338578,87283472cffffff
185,False,591751.0017,4137811.147,65407803,37.3825144,-121.9636128,87283471cffffff
186,False,592908.5041,4130451.273,65408475,37.3160691,-121.951463,872834731ffffff
187,False,593722.2531,4133936.481,65409160,37.3473974,-121.9418402,872834715ffffff
188,False,593905.2372,4133897.523,65409167,37.3470278,-121.9397795,872834715ffffff
189,False,586515.7338,4132186.033,65409219,37.3323211,-122.0233976,87283472affffff
190,False,585092.0015,4127918.43,65410675,37.2939901,-122.0399561,8728340d2ffffff
191,False,593422.5862,4130559.473,65410786,37.3169927,-121.9456485,872834731ffffff
192,False,585218.4277,4128748.101,65411304,37.3014561,-122.0384347,87283472cffffff
193,False,588880.9522,4136741.135,65411531,37.3731506,-121.9961558,87283470effffff
194,False,582493.6754,4140155.964,65411593,37.4045175,-122.0679053,872834754ffffff
195,False,591641.4499,4137503.4,65411953,37.3797517,-121.9648882,87283471cffffff
196,False,583344.8634,4129307.612,65413866,37.3066687,-122.0595097,87283472cffffff
197,False,588982.4059,4130889.817,65414239,37.3204058,-121.9957128,872834723ffffff
198,False,588963.3403,4130901.92,65414241,37.3205167,-121.9959265,872834723ffffff
199,False,588607.6161,4131102.673,65414246,37.32236,-121.9999168,872834705ffffff
200,False,588544.4852,4138851.334,65415279,37.3922009,-121.9997028,87283470affffff
201,False,594177.4532,4132675.143,65417075,37.3359837,-121.9368619,872834706ffffff
202,False,594163.3764,4132457.705,65417082,37.3340255,-121.9370484,872834733ffffff
203,False,582575.346,4140334.156,65417614,37.4061162,-122.0669627,872834754ffffff
204,False,586929.8585,4137416.586,65417722,37.3794231,-122.0181096,872834708ffffff
205,False,587037.8264,4139303.9,65417858,37.3964224,-122.0166681,87283470affffff
206,False,583865.5402,4132677.448,65418383,37.3369932,-122.053254,872834728ffffff
