rq_time,start,end,request_id,number_passenger,odt_bin,actual_travel_time,no_show_status,actual_pudo_boarding_duration,const_pudo_boarding_duration,pudo_alighting_duration
46440,1428,3743,204,1,"(0, 0, 'offpeak')",780.0,False,21.274011822391728,30,30
46620,3194,288,205,1,"(2, 4, 'offpeak')",,False,1.5793828439790447,30,30
46680,537,2765,206,1,"(3, 3, 'offpeak')",,False,35.34485167466717,30,30
46800,1027,3995,207,1,"(3, 0, 'offpeak')",420.0,False,80.05512684319768,30,30
46860,2916,427,208,1,"(3, 1, 'offpeak')",480.0,False,104.25529804704442,30,30
46980,427,199,209,2,"(3, 0, 'offpeak')",780.0,False,182.92518836401464,30,30
46980,427,199,210,2,"(3, 0, 'offpeak')",,False,5.103018455579849,30,30
46980,2448,898,211,1,"(0, 2, 'offpeak')",,False,41.74068228676855,30,30
47040,824,3702,212,1,"(3, 1, 'offpeak')",240.0,False,40.04294839770065,30,30
47040,3446,1827,213,1,"(2, 2, 'offpeak')",2160.0,False,41.90489138517977,30,30
47100,3194,1827,214,1,"(2, 2, 'offpeak')",,False,11.511370176354015,30,30
47100,295,1587,215,1,"(2, 3, 'offpeak')",1440.0,False,13.264137760495188,30,30
47160,385,3562,216,1,"(0, 1, 'offpeak')",,False,2.6477276508691627,30,30
47460,427,2823,217,1,"(3, 3, 'offpeak')",1140.0,False,4.4347706455253455,30,30
47460,1229,427,218,1,"(2, 1, 'offpeak')",600.0,False,115.69876194276974,30,30
47700,348,1586,219,1,"(3, 2, 'offpeak')",1500.0,False,40.25359689303941,30,30
47700,2845,2311,220,1,"(0, 5, 'offpeak')",,False,17.377259871677467,30,30
47820,1654,852,221,1,"(4, 2, 'offpeak')",1380.0,False,2.1603568868584064,30,30
47940,2383,1429,222,1,"(4, 1, 'offpeak')",1200.0,False,27.184997052374666,30,30
48120,3562,2687,223,2,"(3, 5, 'offpeak')",540.0,False,48.72252416153632,30,30
48120,427,2687,224,2,"(3, 5, 'offpeak')",,False,57.4172234750722,30,30
48240,3788,1611,225,1,"(3, 0, 'offpeak')",360.0,False,145.6708681671905,30,30
48240,2519,3426,226,1,"(2, 5, 'offpeak')",660.0,False,94.89644665966514,30,30
48300,3115,359,227,1,"(3, 1, 'offpeak')",480.0,False,223.8647460149808,30,30
48300,544,1281,228,1,"(3, 1, 'offpeak')",660.0,False,110.48634603016926,30,30
48480,427,2223,229,1,"(3, 1, 'offpeak')",420.0,False,53.18473763452247,30,30
48540,1693,2687,230,1,"(4, 5, 'offpeak')",1080.0,False,6.151919580176114,30,30
48540,3971,3562,231,1,"(2, 1, 'offpeak')",900.0,False,150.92182409416384,30,30
48540,1611,734,232,1,"(2, 0, 'offpeak')",240.0,False,27.997114109535595,30,30
48540,3691,3562,233,1,"(2, 1, 'offpeak')",840.0,False,12.13092141231676,30,30
48600,3173,1815,234,1,"(3, 5, 'offpeak')",,False,1.3801446768530772,30,30
48660,694,427,235,1,"(4, 1, 'offpeak')",,False,4.450163952409422,30,30
48660,427,2460,236,1,"(3, 1, 'offpeak')",,False,113.64179452452032,30,30
48840,1185,427,237,1,"(3, 1, 'offpeak')",240.0,False,12.25991736840439,30,30
49140,3397,430,238,1,"(3, 2, 'offpeak')",480.0,False,0.3737967055848072,30,30
49260,1671,2623,239,1,"(5, 5, 'offpeak')",900.0,False,12.1127344843031,30,30
49260,1611,3562,240,1,"(2, 1, 'offpeak')",900.0,False,19.90610391393445,30,30
49380,2208,278,241,1,"(3, 2, 'offpeak')",240.0,False,13.543934479413975,30,30
49380,2882,1564,242,1,"(0, 3, 'offpeak')",,False,113.64714053991456,30,30
49380,3562,3350,243,2,"(3, 5, 'offpeak')",360.0,False,74.8251860962674,30,30
49380,2208,3350,244,2,"(3, 5, 'offpeak')",,False,9.580367217085549,30,30
49500,2636,2403,245,1,"(3, 1, 'offpeak')",420.0,False,6.50151555107152,30,30
49800,427,1587,246,1,"(3, 3, 'offpeak')",480.0,False,24.43319551526391,30,30
50280,1813,1955,247,2,"(3, 2, 'offpeak')",360.0,False,88.16055148869798,30,30
50340,1503,2062,248,1,"(3, 4, 'offpeak')",1200.0,False,12.57399195311472,30,30
50460,328,2915,249,1,"(3, 1, 'offpeak')",480.0,False,41.45454826612168,30,30
50640,705,3109,250,1,"(4, 2, 'offpeak')",1440.0,False,28.92758227800877,30,30
50700,514,793,251,1,"(0, 0, 'offpeak')",1440.0,False,21.01980559836954,30,30
50760,1429,1815,252,2,"(0, 5, 'offpeak')",360.0,False,95.76734514433694,30,30
50760,3033,3515,253,1,"(5, 0, 'offpeak')",1800.0,False,40.73486715552155,30,30
50820,2670,898,254,1,"(3, 2, 'offpeak')",,False,2.441634450183446,30,30
50820,427,1503,255,1,"(3, 5, 'offpeak')",240.0,False,5.057301983982588,30,30
51000,839,3475,256,1,"(4, 5, 'offpeak')",,False,98.8447079003456,30,30
51060,2917,3759,257,1,"(3, 3, 'offpeak')",1140.0,False,3.4292693050544623,30,30
51120,427,1815,258,1,"(3, 5, 'offpeak')",480.0,False,472.8261565052965,30,30
51180,4003,288,259,1,"(2, 4, 'offpeak')",,False,1.006951235683908,30,30
51180,2451,1573,260,1,"(3, 1, 'offpeak')",,False,97.44808742244273,30,30
51300,3427,1673,261,1,"(3, 2, 'offpeak')",,False,6.605808939104871,30,30
51360,1656,1391,262,1,"(4, 0, 'offpeak')",,False,115.8040905318993,30,30
51360,284,1564,263,1,"(0, 3, 'offpeak')",,False,0.3486820847479256,30,30
51420,427,849,264,1,"(3, 2, 'offpeak')",420.0,False,34.76998844728372,30,30
51540,438,1887,265,1,"(0, 5, 'offpeak')",660.0,False,21.0266700243376,30,30
51540,3942,1281,266,1,"(0, 1, 'offpeak')",540.0,False,61.364033025696266,30,30
51540,3665,1503,267,1,"(3, 5, 'offpeak')",480.0,False,1.7651296193363788,30,30
51900,2782,2348,268,2,"(4, 2, 'offpeak')",,False,59.32434445957188,30,30
51900,1673,1587,269,1,"(0, 3, 'offpeak')",840.0,False,37.47980655607809,30,30
52080,427,1587,270,1,"(3, 3, 'offpeak')",,False,48.121601056412274,30,30
52200,525,3562,271,1,"(3, 1, 'offpeak')",360.0,False,67.77684176144012,30,30
52860,2054,425,272,1,"(0, 5, 'offpeak')",,False,231.75250333576727,30,30
52920,1121,2311,273,1,"(3, 5, 'offpeak')",,False,1.442590591894772,30,30
52980,427,1516,274,1,"(3, 2, 'offpeak')",420.0,False,42.71977505662526,30,30
53040,380,1815,275,1,"(3, 5, 'offpeak')",600.0,False,4.173584595261731,30,30
53160,3526,3562,276,1,"(1, 1, 'offpeak')",840.0,False,2.4308650612058416,30,30
53400,3484,2816,277,1,"(0, 4, 'offpeak')",1680.0,False,48.6447706403425,30,30
53460,2508,2816,278,1,"(3, 4, 'offpeak')",,False,130.69337699248172,30,30
53520,1586,429,279,1,"(5, 2, 'offpeak')",,False,112.43160565468084,30,30
53700,2687,3299,280,1,"(3, 2, 'offpeak')",,False,4.695069546238201,30,30
